,kidney epithelial cell,b cell,cd8-positive alpha-beta t cell,endothelial cell,macrophage,nk cell,cd4-positive helper t cell
WDR86,0.00408404947329742,0,0.0291477041125792,0.0595462397525185,0.0311526479750779,0,0.123334639638827
WDR86-AS1,0,0,0.137749646214529,0.0354516355614913,0,0,0.29023879667672
CRYGN,0.0024006721882127,0,0,0.105263157894737,0,0,0
MIR3907,0,0,0,0,0,0,0
RN7SL76P,0.00107631481877181,0,0.04149377593361,0.105263157894737,0.0258735050664884,0,0
RHEB,1.53364597356309,0.320582371871492,0.37391670635627,0.387611227913907,0.69568315078722,0.612292517801277,0.352152496123512
ETF1P2,0.00101399098305753,0.208785505107771,0.168870676602565,0.155899780674985,0.0782633659624236,0.369446186618951,0.198764764142958
PRKAG2,0.275142934110296,0.421256683220612,0.437918755523397,0.802060889570337,0.978669283360336,0.503499144474969,0.46199087049421
PRKAG2-AS1,0.178464534288122,0.103843842215202,0.104348530907849,0.0692600727081299,0.41859971548538,0.0700161966658731,0.0484934655836274
RNU6-604P,0,0,0,0,0,0,0
RF00019-348,0,0,0,0,0,0,0
GALNTL5,0.00120033609410635,0,0,0,0,0,0
RF00017-56,0,0,0.0354121473320292,0.0240457635176809,0.0189577411639728,0.13803116601842,0.208778544684141
GALNT11,1.92131687444906,0.29337338548252,0.442595562004944,0.735728091315219,0.339621712856946,0.477427117469657,0.388532176202173
YBX1P4,0.00120033609410635,0,0.04149377593361,0,0,0,0
KMT2C,0.234625274016103,0.743046143149569,0.755771407015096,1.1002917619128,1.09305602674172,0.909262504457062,0.693509625332708
SEPT7P6,0.0108030248469571,0.0661401412179393,0.0829875518672199,0.105263157894737,0,0.00547206128826578,0.0103949731555433
RF00019-349,0,0,0,0,0,0,0
FABP5P3,0.00429323417572912,0.0293255131964809,0,0,0.0272026121430679,0.0763358778625954,0.0552486187845304
CCT8L1P,0,0,0,0,0,0,0
LINC01003,0.147029444408966,0.148941874853677,0.111242353668846,0.492270062471691,0.470075513714942,0.24705838065111,0.12017110434685
RNA5SP250,0,0,0,0,0,0,0
RF00568-6,0,0,0,0,0,0,0
XRCC2,0.0464822908879299,0,0.04149377593361,0.374487324764854,0.163670278412531,0,0
ATP5PBP3,0,0,0,0,0,0,0
RN7SL845P,0.00120033609410635,0,0,0,0,0,0
ACTR3B,0.144019328278663,0.158245510719389,0.0510215937349312,0.277291882665534,0.119697405913166,0.0726222536946071,0.125439036452309
LINC01287,0,0.0586510263929619,0,0,0,0,0
PAXBP1P1,0,0,0,0,0,0,0
DPP6,0.0494598713317219,0,0.0829875518672199,0.305478728444953,0.0311526479750779,0,0
PAXIP1-AS2,0.145119238003834,0.335736757630477,0.234689022000895,0.725993271877891,0.302640510125324,0.400425623846418,0.31086699475241
PAXIP1,0.228468561224177,0.10253990710306,0.263021473073366,0.377931808170519,0.330754311656655,0.100646291980307,0.124212322972756
PAXIP1-AS1,0.595837419764747,0.354646586952321,0.210375858045713,0.337376932093972,0.18158562421056,0.609053921153527,0.44560781697542
HTR5A-AS1,0,0,0,0,0,0,0
HTR5A,0,0,0,0,0,0,0
RN7SKP280,0,0,0,0,0,0,0
INSIG1,0.0920888767274198,0.0666892707260473,0.166173995924627,0.22602322101593,0.531135962481068,0.251664354600979,0.139196640343627
BLACE,0,0,0,0,0,0,0
EN2,0.0024006721882127,0,0,0,0.0311526479750779,0,0
CNPY1,0,0,0,0,0,0,0
RBM33,0.254407038319914,0.614299938443207,0.956233442077004,0.892943136315597,0.700218486823026,0.940049693329644,0.700579031643288
SHH,0.260789764154975,0,0,0.09134740076567,0,0,0
RF00019-350,0,0,0,0,0,0,0
LINC01006,0.509862951708075,0.112867432255899,0.0561858173227904,0.237969837690655,0.171272112944416,0,0.100123084052492
LINC00244,0.00120033609410635,0,0,0,0,0,0
RNF32,0.176507365158405,0.146627565982405,0,0.26873685184278,0,0.0763358778625954,0.0319444408732883
LMBR1,0.230758606926074,0.220218231906989,0.379707351697926,0.44307471074556,0.310011440719771,0.39974067729848,0.510757268915848
RNU4-31P,0,0,0,0,0,0,0
NOM1,0.11223636767026,0.285399998431681,0.194868127340103,0.412055961081856,0.218044569187818,0.342582369578704,0.276462176228096
MNX1,0.00843342826398191,0,0,0,0,0,0
MNX1-AS2,0.00120033609410635,0,0,0,0,0,0
MNX1-AS1,0,0,0,0,0,0,0
