,Endothelial Cells,Cardiac Muscle Cells,Hepatocyte,Smooth Muscle Cells,Cardiac Fibroblast,Macrophages
FEM1A,0.251473366470892,0.518684633902425,0.336131924152703,0.322868327836733,0.246351852416992,0.194092461260388
TICAM1,0.226617428802974,0.0328386631920303,0.0802463462851647,0.0794352797774581,0.219865235328674,0.157322284337637
PLIN3,0.237143848644566,1.07987389570925,0.919299074331482,0.0581786965464687,0.322321823358536,0.3294777040546
ARRDC5,0,0,0,0,0,0.135135135135135
UHRF1,0.012126673453297,0.237444096725075,1.10236798293882,0.252860236812282,0.11284603369236,0.27027027027027
MIR4747,0,0,0,0,0,0
KDM4B,0.309434865921121,0.821868554592949,0.587208458994703,0.117130040719702,0.301876346588135,0.157839340132636
PTPRS,0.00585566023277297,0.27996208273562,0.219577045644282,0.176688138429109,1.3121564848125,0
RPL32P34,0,0.032096189396982,0.0141463196529392,0,0.24,0
ZNRF4,0,0.00138792505204719,0,0,0,0
TINCR,0.00547505856454932,0.0433234558755494,0.0316736069811496,0,0,0.135135135135135
SNRPEP4,0.117820722963416,0.240034812682106,0.596363625195839,0.0057562265780058,0.00098291751742363,0.140817255989925
SAFB2,0.353853455897749,0.556164478813088,0.601339537729026,0.46624753471078,0.419518352225423,0.557608221556891
SAFB,0.499722180157501,0.83382717024491,0.986280502722393,0.470495046594658,0.547393773369491,0.466311915324548
RPL36,2.83608833988517,3.17754423827615,3.29824733509382,1.98211502216689,2.28156380519271,2.30294988616496
MICOS13,1.03557941197622,2.21793590086686,1.31647946314734,0.973021583245681,1.02905274990946,0.887126676285186
HSD11B1L,0.21496168600909,1.20940550036268,0.763274588094489,0.147273368663616,0.226431282043457,0.185860582300135
LONP1,0.387359309615829,0.907808744717108,0.810240113510792,0.446653484224199,0.376081082075834,0.34500017842731
CATSPERD,0,0.00661162052776646,0.00857416438443383,0,0,0
PRR22,0.0300187617260788,0.214029145306965,0.171424643614623,0,0,0
DUS3L,0.154975870097891,0.199258127467323,0.257329723176002,0.336988226787464,0.334735274255276,0.234655502680186
NRTN,0.0262963154526186,1.19113813800004,0.407743849373389,0.368321343585178,0.0267180862426758,0
FUT6,0,0.00396735037804312,0.00383068893457138,0,0,0
FUT3,0,0.00670715311515009,0.00189265403537382,0,0,0
FUT5,0,0.011939650687139,0,0,0,0.135135135135135
NDUFA11,1.45202070977015,2.75346403811062,2.39949706626442,1.3785320898971,1.18784197404981,1.23819263823129
VMAC,0.107657852237712,0.111562344620081,0.171194624802298,0.165775589040808,0.046502649307251,0.265349642650501
CAPS,0.0608833462167636,0.0526684176996299,0.0620273972345778,0.0495358308156331,0.153548229217529,0.246381833746627
RANBP3,0.437292294974804,0.629398395823241,0.636279513383809,0.371546161604357,0.316985249042511,0.348594040987459
RFX2,0.0867635024868749,0.0834348322863714,0.186648128829602,0.494580394949193,0.182516448974609,0.0703517617406072
ACSBG2,4.86881099990787e-05,0.000617437078090776,0.000369525070689598,0.00599028559418412,0,0.135135135135135
MLLT1,0.698715728875704,0.474847838621765,0.33194145647838,0.457194706878147,0.502793551027775,0.237510503949346
ACER1,0.00375234521575985,0.000656784780318335,0.00493455918367244,0,0,0
CLPP,0.564184403177665,0.967728017172327,1.02128441146035,0.445038804062852,0.251290322899818,0.3339265222485
ALKBH7,0.569702416130011,1.77247932119803,1.23456965713899,0.666931521944567,0.66895742559433,0.668849864722909
PSPN,0.113868077062979,0.188108195371714,0.194151548205219,0.0328318573333122,0.150689695358276,0.295102312758162
GTF2F1,0.379999753206577,0.756780609977609,0.964864844471709,0.463661078934197,0.261752108544111,0.426605414699864
MIR6885,0,0,0,0,0,0
MIR6790,0,0,0,0,0,0
KHSRP,0.702305391281983,1.19994631973221,1.29460424748553,0.661783723278089,0.585922671020031,0.531919187790639
MIR3940,0,0,0,0,0,0
SLC25A41,0.0115706861690106,0.124014669520254,0.0322138919427485,0,0,0
SLC25A23,0.0648880130130847,2.27672773042046,0.9748041726943,0.661269678188874,0.485441373109817,0.492620754886318
CRB3,0.000512002646140265,0.0373900082895608,1.03650291539092,0,0,0.112169993890298
DENND1C,0,0.00508117864398308,0.0154911640234449,0,0,0.25315476430429
TUBB4A,0.0409974121983123,0.169737047160989,0.821798503672562,0.0900900900900901,0.0722618064880371,0
TNFSF9,0.0107528625688678,0.00433951697773109,0.0169396787416618,0,0.0396758813858032,0.149435204428595
CLIC4P2,0.00396752941228212,0.00277585010409438,0,0,0,0
RF00019-658,0,0,0,0,0,0
CD70,0.00310204579279973,0.000748194298092315,0.00112025413740874,0,0,0.0615308220322068
RPL7P50,0,0,0,0,0.000640839993953705,0
TNFSF14,0.00218500965755384,0.00294807801058026,0.0085870874267417,0,0.0142637186050415,0.132244219651093
C3,0.0111068870739463,0.00304097843037803,0.1710221495948,0.0289323883013682,2.13197219467163,0.00742257124668843
GPR108,0.530801710863834,0.51128190546959,0.511289802902439,0.315721807716129,0.449935284256935,0.229214934078423
MIR6791,0,0,0,0,0,0
TRIP10,0.742049666062892,0.432801075663358,0.52248075065315,0.619621885789407,0.74868920199573,0.136363467654666
SH2D3A,0.00870061245158063,0.00762732346632016,0.277099763339982,0.0181425777641503,0.0218270664215088,0.089297172185537
VAV1,1.50375022757344e-05,0.000141367525131151,0.00010132534417458,0,0,0.204790200736072
ADGRE1,0.00333741948036494,1.77348905102732e-05,0,0,0.000444336295127869,0
RF00017-136,0,0,0,0,0,0
ADGRE4P,0,0,0.000311306411788702,0,0,0.0988792793170826
MBD3L2B,0,0.00138792505204719,0,0,0,0
MBD3L5,0,0,0,0,0,0
MBD3L4,0,0,0,0,0,0
MBD3L2,0.000425522770264359,0,0,0,0,0
MBD3L3,0,0,0,0,0,0
ZNF557,0.168833152680722,0.207425009530092,0.296331286830597,0.200691586142188,0.249244920611382,0.216670780568509
